PW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: June 15, 2026"
2,,,,3.4,-0.9,-4.3,69.8,-3.8,82.2,7881,99.5,8.4L,1.18,
3,,,,4,-1.6,-5.6,69.1,-2.8,84.8,7693,103.8,14.9L,1.23,
4,,,,1.6,-2.5,-4.1,68.7,-3.6,82.9,8157,100.3,16.8L,1.21,
5,,,,3.2,0.3,-2.9,69.3,-3.6,83.8,7909,102.1,1.2L,1.21,
6,,,,1.4,-3.4,-4.8,69.6,-3.4,82.9,7575,101.3,22.8L,1.19,
,,,,,,,,,,,,,,
SW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: January 27, 2026"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,3.2,-1.9,-5.1,65.4,-2.8,66.7,9561,72.8,5.2L,1.02,
2,,,,0.6,-1.3,-1.9,66.9,-2.8,66.3,9623,72,4.0L,0.99,
3,,,,0,3.8,3.8,63.4,0.2,60.5,9456,62.7,9.9R,0.95,
4,,,,-0.2,-0.7,-0.5,66.9,-0.2,68,9485,74.1,2.6L,1.02,
5,,,,2,-3.8,-5.8,68,-2.4,69,7947,77,15.0L,1.02,
6,,,,3,-1,-4,64,-2.4,61.9,9182,64.9,1.2L,0.97,
7,,,,6.4,0.7,-5.7,63.2,-1.2,62,8509,65.3,5.0R,0.98,
8,,,,1,0.8,-0.2,64.5,-2.6,61.7,8540,64.9,2.6R,0.96,
9,,,,4.6,-3.9,-8.5,65.9,-2.8,66.2,8623,72,12.3L,1,
10,,,,1,-1.3,-2.3,65.6,-1.6,63,9372,66.8,3.4L,0.96,
11,,,,0.2,-0.2,-0.4,65,-3.8,65.4,9075,70.2,0.6L,1.01,
12,,,,1,-2.4,-3.4,67.8,-1.8,68.7,9798,75.7,8.3L,1.01,
13,,,,3.2,-2.5,-5.7,68.1,-1.6,70.5,9253,78.7,9.3L,1.04,
14,,,,2.2,0,-2.2,65.9,-5.6,68.2,8244,75.1,0.4R,1.03,
15,,,,1.4,-0.1,-1.5,68.2,-2.6,70.6,10206,78.5,0.0R,1.04,
16,,,,2.2,0.1,-2.1,63.3,-3.8,66.3,8226,72,0.8R,1.05,
,,,,,,,,,,,,,,
PW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: January 27, 2026"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,5.2,2.6,-2.6,69.1,-3.4,84.6,8007,103.4,11.6R,1.22,
2,,,,5.2,2.2,-3,68.7,-2.8,81,7816,97.7,8.8R,1.18,
3,,,,6.6,1.1,-5.5,69,-3.2,80.8,7685,97.5,0.7R,1.17,
4,,,,6.8,2.9,-3.9,69.2,-2.4,85.4,8018,104.5,11.3R,1.23,
5,,,,6.2,3.1,-3.1,68.6,-1.6,84.8,7652,103.6,13.5R,1.24,
6,,,,4.4,1.4,-3,68.8,-2,84.8,7562,104.4,3.9R,1.23,
7,,,,6,-1,-7,68.7,-1.6,83.4,7404,101.9,13.2L,1.21,
8,,,,5.6,0.9,-4.7,68.9,-2.8,84.5,7581,103.7,0.5L,1.23,
9,,,,7.2,1.9,-5.3,68.5,-2.4,83.7,7602,102.2,4.7R,1.22,
,,,,,,,,,,,,,,
SW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: January 29, 2026"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,4,2.1,-1.9,66.8,0,66.2,9109,71.8,8.5R,0.99,
2,,,,6.4,-1.3,-7.7,66.8,-1.4,69.6,9209,77.5,3.7L,1.04,
3,,,,5,-2.8,-7.8,67.4,-2.2,71,9248,79.6,10.5L,1.05,
4,,,,7.2,-2.1,-9.3,63.8,1,68.4,5984,76.6,10.4L,1.07,
5,,,,9.9,-1.2,-11.1,67.2,-4.3,69.2,8228,77,4.1L,1.03,
6,,,,5,0.9,-4.1,67.9,-2.8,69.7,9758,77.2,4.8R,1.03,
7,,,,4.6,5.7,1.1,66.1,0.6,68,9833,74.4,21.9R,1.03,
,,,,,,,,,,,,,,
LW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: January 29, 2026"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,7.2,-3.3,-10.5,60.5,-0.6,55.8,8568,55.3,3.0L,0.92,
2,,,,3.2,4.3,1.1,60.8,2,53.4,7221,51.1,10.8R,0.88,
3,,,,4.4,2.8,-1.6,61.4,-0.8,56.8,6788,56.5,8.8R,0.92,
4,,,,6.4,-1.3,-7.7,59.1,-2.2,56,8711,55.6,1.2R,0.95,
,,,,,,,,,,,,,,
GW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: January 29, 2026"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,5.6,-0.3,-5.9,69.2,-2.6,81,8148,96.7,5.6L,1.17,
2,,,,5.2,-1.7,-6.9,69.1,-1.6,76,7775,88.7,10.8L,1.1,
3,,,,5.4,-1.9,-7.3,69.2,-2.6,80,8229,95.1,14.0L,1.16,
4,,,,5.2,0.1,-5.1,68.7,-2.2,77.7,8671,91.3,1.5L,1.13,
5,,,,8,-1.2,-9.2,69.4,-1.4,77.1,7596,91,10.8L,1.11,
6,,,,4.6,1.4,-3.2,69.4,-2.2,77.4,8431,90.9,5.4R,1.12,
7,,,,6.4,2.3,-4.1,69,-2,77.9,8957,91.1,9.4R,1.13,
8,,,,6.6,0.3,-6.3,68.8,-1.4,77,8083,90.2,1.5L,1.12,
,,,,,,,,,,,,,,
GW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: January 30, 2026"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,6.6,0.6,-6,68.7,-2.2,78.6,8409,92.7,0.2L,1.14,
2,,,,4.4,-1.6,-6,69.6,-2.8,75.7,8544,88.1,9.3L,1.09,
3,,,,7.4,1.9,-5.5,68.7,-2.6,76.5,8987,88.9,7.6R,1.11,
4,,,,7,2.8,-4.2,68.9,-1.2,75.8,8181,87.8,11.6R,1.1,
5,,,,6,3,-3,68.9,-1.6,76.4,8525,88.9,13.0R,1.11,
6,,,,7.2,-2.1,-9.3,68.9,-2.4,78.1,8189,92,14.9L,1.13,
,,,,,,,,,,,,,,
PW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: January 30, 2026"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,6.2,3.2,-3,63.9,-1.8,70.9,7686,80.8,13.0R,1.11,
2,,,,6.6,-0.2,-6.8,67,-2.8,83.1,7996,101,7.8L,1.24,
3,,,,5.2,2.2,-3,66.7,-4,76,7165,89.9,9.0R,1.14,
4,,,,7,-1.1,-8.1,67.2,-3.2,82.8,7835,100.5,13.8L,1.23,
5,,,,4.8,-2.6,-7.4,66.8,-3.6,81.9,7546,99.5,20.8L,1.23,
6,,,,2.8,2.5,-0.3,67.4,-5.2,78.1,9083,91.8,11.7R,1.16,
7,,,,4.6,4.9,0.3,67.1,-4.4,78.7,8536,93,24.1R,1.17,
8,,,,7,2.6,-4.4,67.4,-3.8,81.5,8646,97.7,10.5R,1.21,
9,,,,5.2,1.1,-4.1,67,-5,83.4,8047,101.5,2.0R,1.24,
10,,,,7,2,-5,67.1,-4.6,77.5,8203,91.4,7.4R,1.16,
11,,,,4.4,-0.2,-4.6,66.4,-2.4,78.3,7733,93.2,3.9L,1.18,
12,,,,6.2,-2.2,-8.4,66.6,-3.2,83.5,7729,101.8,20.7L,1.25,
13,,,,5.2,2.5,-2.7,67.1,-1.6,78.7,8045,93.4,10.6R,1.17,
14,,,,6,-0.3,-6.3,67.2,-4.8,83,7612,101.3,7.9L,1.23,
,,,,,,,,,,,,,,
SW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: February 1, 2026"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,3.6,5.2,1.6,63.5,-4.6,59.8,9935,61.5,15.6R,0.94,
2,,,,4.2,2,-2.2,63.5,-3,65,9289,70,8.3R,1.02,
3,,,,5,1.6,-3.4,65.2,-4.4,65.9,10139,71.2,7.7R,1.01,
4,,,,4.8,0.7,-4.1,66,-4.4,69.6,9571,77.5,3.8R,1.06,
5,,,,8,4.3,-3.7,60,-3.2,57.4,9426,57.6,15.6R,0.96,
6,,,,4.2,2.1,-2.1,63.6,-4,65.1,9729,70,8.6R,1.02,
7,,,,8,-0.9,-8.9,61.4,-4.4,61.8,7177,65.5,1.0L,1.01,
8,,,,4.2,0.8,-3.4,64,-4.8,63.6,10079,67.6,5.0R,0.99,
9,,,,3.8,1.4,-2.4,64.3,-4.4,66.9,9811,72.9,6.3R,1.04,
10,,,,3.8,1.3,-2.5,65.1,-5.2,65.2,10028,70.2,6.1R,1,
11,,,,-1,0.1,1.1,64.8,-4.2,60.7,9264,63.2,0.4L,0.94,
12,,,,2.8,5.3,2.5,62.8,-5.2,60.5,9672,62.6,15.8R,0.96,
13,,,,5.2,1.8,-3.4,62.8,-4.2,63.1,9159,67.1,7.9R,1.01,
14,,,,5.6,0.8,-4.8,61.1,-5,59.9,8863,61.6,5.0R,0.98,
15,,,,2.2,4,1.8,64.8,-4.2,59.6,10062,61.2,11.7R,0.92,
16,,,,8,4.1,-3.9,62.3,-4,62.2,9715,65.4,16.3R,1,
17,,,,5,1.8,-3.2,64.1,-5,63.7,8758,68.1,7.7R,0.99,
18,,,,3.8,-1.2,-5,62,-5.4,61.1,9426,63.4,1.1L,0.98,
19,,,,4,1.2,-2.8,62.4,-4.6,61.8,8042,65.3,5.1R,0.99,
20,,,,-6.4,-2.7,3.7,64,-5.6,59.2,7517,61.1,10.1L,0.93,
,,,,,,,,,,,,,,
GW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: February 1, 2026"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,6.2,1.3,-4.9,67.1,-4.4,74.1,9247,85.1,5.7R,1.11,
2,,,,5.2,6.5,1.3,64.9,-2.8,72.5,9479,82.1,27.8R,1.12,
3,,,,6.6,0.5,-6.1,68.2,-1.8,75.1,8108,87.2,0.6R,1.1,
,,,,,,,,,,,,,,
7 IRON,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: February 1, 2026"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,5.2,2.2,-3,71,-1,102,4624,142.9,4.0R,1.44,
2,,,,6.6,2,-4.6,71.4,-1.8,103,4468,144.8,5.6L,1.44,
3,,,,5.6,1,-4.6,70.8,-2.6,100.8,4678,139.1,11.2L,1.42,
4,,,,7,1.8,-5.2,70.8,-2.6,100.7,4736,138.7,7.1L,1.42,
5,,,,7.8,3.4,-4.4,69.8,-1.4,100.5,4359,140.8,6.3R,1.44,
6,,,,4.8,-0.1,-4.9,69.9,-1.8,99.9,4189,139,20.2L,1.43,
7,,,,7,3,-4,70.7,-2,101.8,4503,142.8,5.9R,1.44,
8,,,,6,1.2,-4.8,70.1,-2.2,100.2,4682,137.8,11.0L,1.43,
9,,,,8,1.1,-6.9,69.9,-2,99.5,3989,137.7,18.7L,1.42,
10,,,,6.2,2.9,-3.3,69.6,-2.6,100.7,4579,140.2,8.1R,1.45,
11,,,,7.2,1.3,-5.9,70.9,-2.2,103.1,4647,143.5,16.6L,1.45,
12,,,,7,0.6,-6.4,70.5,-2.6,102,4533,139.9,22.8L,1.45,
13,,,,6,0,-6,70.1,-3.2,102.2,4277,142.4,25.1L,1.46,
14,,,,4.4,-0.7,-5.1,69.9,-2,101.3,4306,140.7,26.9L,1.45,
15,,,,4.6,1.2,-3.4,70.4,-3,100.5,4632,139.3,4.5L,1.43,
16,,,,7.6,2.3,-5.3,70.2,-2,101.8,4209,143.5,5.6L,1.45,
17,,,,5,-0.3,-5.3,70.5,-2.8,103.4,4229,144.2,27.1L,1.47,
18,,,,6.2,5,-1.2,70.4,-2.4,100.6,4822,139.7,32.0R,1.43,
19,,,,7.6,0.3,-7.3,70.4,-2.8,101,4054,140.4,26.8L,1.43,
20,,,,7.4,1.1,-6.3,70.4,-1.8,103.2,4387,145,19.8L,1.47,
21,,,,5.6,-0.4,-6,71.1,-2,103.1,4218,144.4,30.4L,1.45,
22,,,,7.4,1.3,-6.1,71.2,-2.6,103,4198,144.4,17.5L,1.45,
23,,,,6.2,0.5,-5.7,70.3,-2.2,102,4516,142,20.3L,1.45,
24,,,,6.6,5.2,-1.4,70.2,-3.2,100.4,4835,139.3,32.5R,1.43,
25,,,,7,2,-5,71.1,-3.4,102.2,4731,140.9,6.5L,1.44,
26,,,,6.4,0.4,-6,70.7,-2.2,103.8,4252,145.2,25.0L,1.47,
27,,,,7,4.3,-2.7,69.2,-1.8,100.2,4355,140.2,20.7R,1.45,
28,,,,6.2,1.1,-5.1,70.8,-1.2,103.5,4235,147,14.6L,1.46,
29,,,,5.8,-0.7,-6.5,70.3,-3.4,103.3,4045,142.8,33.3L,1.47,
30,,,,4.8,1.5,-3.3,71.1,-4.4,101.2,4649,140.8,2.1L,1.42,
,,,,,,,,,,,,,,
SW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: February 6, 2026"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,2.2,-3.4,-5.6,65.6,-3.6,67.5,9728,73.9,10.9L,1.03,
2,,,,1.8,-2.8,-4.6,64.8,-3.4,66.8,9721,72.7,8.8L,1.03,
3,,,,3,-0.1,-3.1,67.2,-3.6,66.2,9538,71.8,1.0R,0.99,
4,,,,7,-2.1,-9.1,66.5,-3,71.3,8967,80.2,8.2L,1.07,
,,,,,,,,,,,,,,
GW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: February 6, 2026"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,6,-4.8,-10.8,66.9,-3.6,80.5,7919,96.5,32.5L,1.2,
2,,,,2.2,-0.1,-2.3,68.1,-4.2,74,8832,85,0.9L,1.09,
3,,,,3.8,-0.2,-4,64.1,-3.4,77.3,8237,91,2.8L,1.21,
4,,,,6.8,0.5,-6.3,66.9,-3.6,75.1,8616,87,0.7R,1.12,
5,,,,6.8,1,-5.8,66.8,-3.8,78.7,8187,93.3,1.9R,1.18,
6,,,,1.2,1.1,-0.1,67,-3.4,74.7,8846,86.2,4.9R,1.11,
7,,,,4,-3,-7,68.1,-3.2,79,7928,93.9,18.9L,1.16,
8,,,,4,-2.7,-6.7,65.5,-6.2,77,8035,90.7,15.5L,1.18,
9,,,,4.4,-1.5,-5.9,65.6,-4.4,77.2,8377,90.6,9.2L,1.18,
10,,,,-0.2,-1.3,-1.1,66.9,-3.6,72.1,9059,81.8,5.6L,1.08,
11,,,,3,-3.9,-6.9,66.8,-4.6,74.7,8548,86.3,18.9L,1.12,
12,,,,5.6,1.4,-4.2,68.1,-2.8,73.7,9176,84.1,6.0R,1.08,
13,,,,5,-0.6,-5.6,67.2,-1.2,74.5,7859,86.3,4.6L,1.11,
14,,,,1.6,-2.7,-4.3,67.4,-4.6,76.9,8755,89.9,14.2L,1.14,
15,,,,5.6,2.8,-2.8,67.4,-1.2,76.6,8348,89.2,12.2R,1.14,
16,,,,5,-0.2,-5.2,68.3,-3.2,77.1,8863,90.2,2.6L,1.13,
17,,,,5.8,-1.3,-7.1,66.9,-4.2,75.8,8078,88.7,8.7L,1.13,
18,,,,3.2,0.8,-2.4,68.1,-3.2,76.2,8613,88.7,2.9R,1.12,
19,,,,5.2,-2.6,-7.8,67.6,-3,78.1,8295,92.2,16.6L,1.16,
,,,,,,,,,,,,,,
5 WOOD,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: February 6, 2026"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,8.7,5.1,-3.6,83.4,0.1,124.7,2853,193,19.4R,1.5,
2,,,,7.5,0.3,-7.2,82,-0.9,124.1,3116,179.6,53.8L,1.51,
3,,,,7.9,2.1,-5.8,82,-1.1,124.1,3184,180.9,30.5L,1.51,
4,,,,9.5,3.9,-5.6,82.7,1.1,123.4,2312,177.7,6.6L,1.49,
5,,,,4.8,3.9,-0.9,83,1,123.4,2404,184.5,33.7R,1.49,
6,,,,7.5,3.3,-4.2,82.9,-1.3,123.8,2898,190.7,8.4R,1.49,
7,,,,6.8,5.3,-1.5,82.7,0.4,123.3,2621,185,37.4R,1.49,
8,,,,8.3,4.3,-4,82.9,-1.3,123.1,3897,181.9,5.6R,1.48,
9,,,,7.5,1.8,-5.7,82,-1.3,123.1,3145,184.8,28.0L,1.5,
10,,,,7.7,4.2,-3.5,81.9,-1.3,123.5,3551,180.7,8.8R,1.51,
11,,,,8.7,4.8,-3.9,83.9,-0.3,125.9,3259,188.6,10.4R,1.5,
12,,,,7.5,1.3,-6.2,81.2,-1.9,122.7,2756,182.5,31.6L,1.51,
13,,,,9.1,4.7,-4.4,82.7,-0.9,125,3148,184.5,7.2R,1.51,
14,,,,7.1,3.8,-3.3,82.2,-1.7,124.1,3497,180.2,7.6R,1.51,
15,,,,5.8,1.4,-4.4,82.8,-0.6,123,3225,184.5,2.5L,1.49,
16,,,,10.1,5,-5.1,82.3,-0.7,123.4,3106,187.5,5.0R,1.5,
17,,,,6.9,2.6,-4.3,82.6,-0.3,123.4,4041,176.8,17.5L,1.49,
18,,,,8.5,4.9,-3.6,82.9,0.3,125,3317,190.7,13.8R,1.51,
19,,,,8.5,4.2,-4.3,83.5,-2.1,124.4,3125,184,5.8R,1.49,
20,,,,7.3,2.2,-5.1,82,-0.3,122.6,2837,186.7,18.5L,1.49,
21,,,,9.3,3.4,-5.9,83,-0.3,121.5,2391,180.8,6.6L,1.46,
22,,,,10.9,5.2,-5.7,81.9,0.3,122.1,2293,181,8.9R,1.49,
23,,,,8.2,3.6,-4.6,83,0.8,124.8,2618,180.3,7.0L,1.5,
24,,,,8.3,4.2,-4.1,82.7,-1.5,122.8,2731,184.1,11.4R,1.48,
25,,,,6.3,4.1,-2.2,81.6,-1.7,122.4,2914,186.9,25.3R,1.5,
26,,,,8.7,5.2,-3.5,83.1,-0.9,124,3782,183.9,19.2R,1.49,
27,,,,8.7,3.8,-4.9,82.6,-0.3,123.2,2715,185.9,3.6L,1.49,
28,,,,8.7,5.8,-2.9,82.8,-0.5,124.6,3344,189,32.5R,1.5,
29,,,,6.9,2,-4.9,83.7,-1.3,126.2,3195,192.1,21.4L,1.51,
30,,,,8.9,3.1,-5.8,82,-1.5,122.9,3047,184,14.9L,1.5,
,,,,,,,,,,,,,,
SW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: February 11, 2026"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,3.4,-1.8,-5.2,65.6,-2,67.4,9541,73.8,5.1L,1.03,
2,,,,5.4,-2.3,-7.7,66.4,-1.4,68.1,9225,75.1,6.9L,1.03,
3,,,,5.6,-2.4,-8,66.9,-3.6,68.6,9734,75.6,6.9L,1.02,
4,,,,4.4,-1.6,-6,63.9,-4,66.3,9811,72,3.5L,1.04,
5,,,,5.8,-1.6,-7.4,65.1,-2.6,66.4,9576,72.2,3.0L,1.02,
6,,,,8,-3.9,-11.9,63.6,-3.6,68.4,9082,75.6,13.0L,1.08,
7,,,,7,-3,-10,66,-2.4,69.2,9155,76.7,9.9L,1.05,
8,,,,6.2,-2.7,-8.9,66.2,-2.2,70.2,9442,78.3,9.2L,1.06,
9,,,,7,-1.4,-8.4,68.5,-2.4,80.4,8234,96,12.6L,1.17,
10,,,,4.6,-2.1,-6.7,65.1,-3.8,70.9,10211,79.2,6.7L,1.09,
11,,,,6.8,-4,-10.8,66.2,-2.2,70.7,8965,79.3,15.4L,1.07,
12,,,,6,-1.7,-7.7,66.2,-2.2,69.1,9339,76.4,4.9L,1.04,
13,,,,5,-1.3,-6.3,62.1,-3,61.8,9241,64.8,1.1L,1,
,,,,,,,,,,,,,,
GW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: February 11, 2026"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,4.4,-1.2,-5.6,68.5,1,74.8,7497,87.5,7.8L,1.09,
2,,,,6.6,-1.7,-8.3,68.7,-1.2,77.1,7991,90.6,11.8L,1.12,
3,,,,4.4,-2,-6.4,68.2,-1.8,77.1,8292,90.3,11.9L,1.13,
4,,,,-,-,-,68.3,-,72.9,7536,84.2,2.3L,1.07,
5,,,,7,-1,-8,68.7,-1,78.6,8193,92.9,9.1L,1.14,
6,,,,6.2,0.1,-6.1,69.5,-2.4,78.5,8945,92.2,2.1L,1.13,
7,,,,7,-1,-8,68.5,-1.4,76.5,7891,89.8,8.3L,1.12,
8,,,,5.6,0.3,-5.3,69.3,-2.4,77.4,8548,90.3,0.2L,1.12,
,,,,,,,,,,,,,,
SW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: March 13, 2026"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,5.6,0.4,-5.2,67.2,-2.8,68.4,9672,75.4,3.4R,1.02,
2,,,,6.6,-0.4,-7,66.5,-4,67.7,9193,74.5,0.4R,1.02,
3,,,,7.4,0.8,-6.6,66.8,-3,69.4,9256,77,4.6R,1.04,
4,,,,7,-0.7,-7.7,66.4,-2.8,69.9,8799,78.1,1.9L,1.05,
5,,,,5.8,0.2,-5.6,66.4,-5,65,8927,69.5,2.6R,0.98,
6,,,,4.8,-1.6,-6.4,67.3,-2.6,68.6,9375,75.8,4.6L,1.02,
7,,,,5.4,-1.9,-7.3,66.6,-3.4,68.2,9356,75.3,5.4L,1.02,
,,,,,,,,,,,,,,
LW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: March 13, 2026"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,4.8,0.1,-4.7,57.4,-3.4,55.7,7101,55.4,2.2R,0.97,
2,,,,3,2.5,-0.5,54,-2.4,49.5,7641,45.6,6.3R,0.92,
3,,,,1.4,0.5,-0.9,50.7,-2.2,46.3,8012,39.5,1.7R,0.91,
4,,,,3.2,-0.3,-3.5,58.5,0.6,55.5,8844,54.8,1.5R,0.95,
5,,,,3.6,2.5,-1.1,61,0.4,58.2,9473,58.9,8.5R,0.95,
6,,,,1.2,1,-0.2,51.4,-1.8,48.5,8087,43.5,2.5R,0.94,
7,,,,2.8,2.5,-0.3,57.7,0.8,53.7,8936,51.7,7.0R,0.93,
8,,,,2.6,0.2,-2.4,57.4,0,54,4319,53.8,0.7R,0.94,
9,,,,7.4,0.9,-6.5,65.4,-2.8,64.4,10068,68.6,7.0R,0.98,
10,,,,5.8,-2.6,-8.4,56.7,-0.4,53.9,7478,52.5,2.8L,0.95,
,,,,,,,,,,,,,,
GW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: March 13, 2026"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,4.2,0.7,-3.5,68.4,-3,75.6,8879,87.7,2.5R,1.11,
2,,,,6.4,-3.1,-9.5,68.3,-3.2,79.4,8389,94.2,21.0L,1.16,
3,,,,5.4,0.1,-5.3,68.3,-3,77.8,8611,91.5,1.5L,1.14,
4,,,,5,-1.3,-6.3,67.2,-4,75,8699,86.8,7.3L,1.12,
5,,,,4.6,3.2,-1.4,68,-4.6,73.6,9436,84.1,14.0R,1.08,
6,,,,5.8,1.4,-4.4,66.3,-3.2,76.2,8918,88.6,5.4R,1.15,
7,,,,3.8,-2.6,-6.4,66.2,-3.6,77.9,8596,91.7,15.3L,1.18,
8,,,,5.6,0.2,-5.4,64.2,-4.2,75.5,8828,87.6,0.2L,1.18,
9,,,,4.2,-0.9,-5.1,66.4,-3.6,75.8,8534,88.3,5.7L,1.14,
10,,,,6.2,-1.2,-7.4,68.5,-2.2,76.8,8267,90.1,8.7L,1.12,
11,,,,5.8,0.3,-5.5,67.4,-4,74.8,8992,86.2,0.7R,1.11,
12,,,,5.6,0.1,-5.5,68.6,-1.6,77.5,8652,90.9,1.8L,1.13,
13,,,,4.8,-2.9,-7.7,67.7,-2.6,74.4,8503,85.9,14.7L,1.1,
,,,,,,,,,,,,,,
DRIVER,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: March 13, 2026"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,10.4,3.2,-7.2,88.5,4.6,128.4,2422,202.2,23.2L,1.45,
2,,,,9.8,4.6,-5.2,87.2,3.6,126,2531,200.9,23.2R,1.44,
3,,,,9,4.3,-4.7,88.5,3.6,126.1,1929,203.2,12.6R,1.43,
4,,,,8.8,3.5,-5.3,88,3,128.1,2127,204,33.6R,1.46,
5,,,,8.8,1.2,-7.6,88.4,3.4,129.4,2234,200.8,18.7L,1.46,
6,,,,8,0.4,-7.6,89.4,3.2,130.2,1981,200.4,28.8L,1.46,
7,,,,9.2,2.2,-7,88.1,4,128.4,1835,196.9,1.4R,1.46,
8,,,,7.4,3.1,-4.3,88.4,2.6,129,2191,201.9,23.5R,1.46,
9,,,,7,3.6,-3.4,86.6,6.8,127.4,1679,197.2,17.8L,1.47,
10,,,,6.6,1.5,-5.1,88.5,1.8,128.5,2161,202.9,11.0R,1.45,
11,,,,6.6,0.5,-6.1,89,4.6,131.2,2533,205.9,7.8L,1.47,
12,,,,9,4.1,-4.9,85.7,5.2,126,2048,197.3,20.4R,1.47,
13,,,,7,1.9,-5.1,87.6,2.6,128.2,1973,200.2,18.9R,1.46,
